symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
rapid heartbeat,vomiting,nausea,muscle pain,sweating,headache,fever,fatigue,malaria
high temperature,chills,fatigue,body pain,weakness,sweating,loss of appetite,headache,fever
fatigue,nausea,vomiting,headache,neck pain,sensitivity to light,sound sensitivity,vision issues,migraine
frequent urination,fatigue,slow healing,weight loss,hunger,increased thirst,blurred vision,,diabetes
nausea,fever,muscle pain,fatigue,headache,vomiting,sweating,rapid heartbeat,malaria
coughing,short breaths,chest tightness,breathlessness,fatigue,wheezing,rapid breathing,,asthma
left arm pain,jaw pain,dizziness,shortness of breath,irregular heartbeat,chest pain,nausea,,heart attack
abdominal pain,vomiting,loss of appetite,weakness,constipation,body ache,fever,,typhoid
chest pain,left arm pain,irregular heartbeat,jaw pain,cold sweat,dizziness,nausea,shortness of breath,heart attack
slow healing,hunger,blurred vision,fatigue,weight loss,frequent urination,increased thirst,,diabetes
bleeding,lump,pain,weight loss,weakness,night sweats,skin changes,loss of appetite,cancer
body pain,chills,fatigue,high temperature,sore throat,loss of appetite,headache,weakness,fever
body pain,fatigue,headache,weakness,loss of appetite,sore throat,chills,sweating,fever
shortness of breath,chills,rapid breathing,phlegm,chest pain,fever,cough,,pneumonia
dizziness,jaw pain,irregular heartbeat,nausea,fatigue,cold sweat,shortness of breath,,heart attack
muscle weakness,fatigue,memory problems,weight gain,hair loss,depression,dry skin,slow heart rate,thyroid
fatigue,breathlessness,chest tightness,wheezing,short breaths,trouble sleeping,rapid breathing,coughing,asthma
abdominal pain,weakness,dry cough,vomiting,fever,constipation,loss of appetite,headache,typhoid
loss of appetite,constipation,abdominal pain,headache,vomiting,dry cough,weakness,body ache,typhoid
wheezing,coughing,chest tightness,short breaths,rapid breathing,breathlessness,fatigue,trouble sleeping,asthma
irregular heartbeat,fatigue,chest pain,nausea,cold sweat,shortness of breath,jaw pain,,heart attack
bleeding,fatigue,pain,loss of appetite,skin changes,lump,weight loss,weakness,cancer
sound sensitivity,vision issues,nausea,vomiting,headache,fatigue,neck pain,sensitivity to light,migraine
shortness of breath,fatigue,chills,rapid breathing,chest pain,fever,phlegm,cough,pneumonia
weakness,constipation,fever,body ache,headache,dry cough,loss of appetite,,typhoid
weakness,body pain,chills,sore throat,fatigue,loss of appetite,headache,,fever
breathlessness,rapid breathing,short breaths,wheezing,chest tightness,trouble sleeping,fatigue,coughing,asthma
wheezing,fatigue,rapid breathing,chest tightness,breathlessness,short breaths,coughing,trouble sleeping,asthma
hunger,fatigue,frequent urination,blurred vision,weight loss,tingling in feet,slow healing,,diabetes
dizziness,shortness of breath,jaw pain,fatigue,irregular heartbeat,nausea,chest pain,,heart attack
hunger,tingling in feet,frequent urination,increased thirst,fatigue,blurred vision,weight loss,slow healing,diabetes
lump,weight loss,skin changes,weakness,loss of appetite,night sweats,pain,,cancer
vomiting,headache,dry cough,body ache,constipation,loss of appetite,abdominal pain,fever,typhoid
rapid breathing,chills,phlegm,cough,fever,fatigue,chest pain,,pneumonia
slow heart rate,fatigue,muscle weakness,weight gain,hair loss,depression,memory problems,dry skin,thyroid
vomiting,fatigue,chills,nausea,headache,rapid heartbeat,sweating,muscle pain,malaria
headache,vomiting,chills,sweating,fever,muscle pain,fatigue,,malaria
bleeding,night sweats,loss of appetite,lump,fatigue,weakness,skin changes,pain,cancer
